other [(0, 0.0839474), (1, 0.08358367), (2, 0.08334248), (3, 0.5813159), (4, 0.083962195), (5, 0.08384839)]
support [(0, 0.08387055), (1, 0.084197015), (2, 0.5800617), (3, 0.08438449), (4, 0.08394344), (5, 0.0835428)]
format [(0, 0.08469679), (1, 0.58007413), (2, 0.084224835), (3, 0.08365156), (4, 0.08351121), (5, 0.08384145)]
comic [(0, 0.08333464), (1, 0.5826901), (2, 0.083423175), (3, 0.08334392), (4, 0.0838734), (5, 0.08333475)]
book [(0, 0.08339176), (1, 0.5826654), (2, 0.08345757), (3, 0.08337183), (4, 0.08377927), (5, 0.08333419)]
cbr/cbz [(0, 0.08338154), (1, 0.5830892), (2, 0.083380826), (3, 0.08338194), (4, 0.08338181), (5, 0.08338473)]
rtf [(0, 0.08335132), (1, 0.582494), (2, 0.08409905), (3, 0.08335156), (4, 0.08335136), (5, 0.08335269)]
doc [(0, 0.5827238), (1, 0.08364557), (2, 0.08347777), (3, 0.08337797), (4, 0.083435886), (5, 0.08333898)]
MS [(0, 0.0833815), (1, 0.5830895), (2, 0.08338078), (3, 0.08338186), (4, 0.08338171), (5, 0.08338466)]
word [(0, 0.08440716), (1, 0.58147806), (2, 0.08366836), (3, 0.08337473), (4, 0.08373371), (5, 0.08333798)]
html [(0, 0.08334774), (1, 0.5832221), (2, 0.08338563), (3, 0.08334795), (4, 0.08334781), (5, 0.08334876)]
plain [(0, 0.08338149), (1, 0.5830896), (2, 0.08338079), (3, 0.0833818), (4, 0.083381705), (5, 0.083384655)]
text [(0, 0.5819901), (1, 0.083712086), (2, 0.083866395), (3, 0.08342485), (4, 0.08367027), (5, 0.08333626)]
To [(0, 0.58157074), (1, 0.08490008), (2, 0.08338078), (3, 0.08338195), (4, 0.08338184), (5, 0.083384596)]
assist [(0, 0.08335403), (1, 0.58106685), (2, 0.083758056), (3, 0.083925545), (4, 0.08335408), (5, 0.084541425)]
read [(0, 0.08338132), (1, 0.58294076), (2, 0.08337361), (3, 0.083530866), (4, 0.08333908), (5, 0.08343433)]
foreign [(0, 0.08338158), (1, 0.58308893), (2, 0.08338093), (3, 0.08338189), (4, 0.083381884), (5, 0.08338477)]
languag [(0, 0.08349828), (1, 0.58293676), (2, 0.083485395), (3, 0.08340723), (4, 0.08333613), (5, 0.08333624)]
fbreader [(0, 0.08334074), (1, 0.58329546), (2, 0.08334072), (3, 0.08334093), (4, 0.08334087), (5, 0.08334128)]
's [(0, 0.08387844), (1, 0.5800533), (2, 0.084757224), (3, 0.08441211), (4, 0.08333981), (5, 0.08355904)]
dictionari [(0, 0.5819449), (1, 0.08469289), (2, 0.083342835), (3, 0.08333974), (4, 0.083339766), (5, 0.08333984)]
integr [(0, 0.08333988), (1, 0.58190936), (2, 0.08388488), (3, 0.08333964), (4, 0.08418611), (5, 0.08334012)]
look [(0, 0.08333899), (1, 0.58089507), (2, 0.08368862), (3, 0.084025994), (4, 0.08409617), (5, 0.0839552)]
word [(0, 0.08436267), (1, 0.58152395), (2, 0.083667755), (3, 0.083374664), (4, 0.08373297), (5, 0.08333797)]
phrase [(0, 0.08392317), (1, 0.5826576), (2, 0.083354905), (3, 0.0833544), (4, 0.0833545), (5, 0.08335548)]
you [(0, 0.08352774), (1, 0.083626494), (2, 0.08410913), (3, 0.084787495), (4, 0.57937217), (5, 0.08457694)]
choos [(0, 0.08365623), (1, 0.08363674), (2, 0.08359945), (3, 0.08344063), (4, 0.5814932), (5, 0.08417377)]
wide [(0, 0.083361834), (1, 0.08427533), (2, 0.08336113), (3, 0.08416136), (4, 0.08336165), (5, 0.58147866)]
select [(0, 0.083462425), (1, 0.083938025), (2, 0.083747536), (3, 0.08375401), (4, 0.5805722), (5, 0.08452584)]
extern [(0, 0.08335396), (1, 0.5816628), (2, 0.08375742), (3, 0.08393762), (4, 0.08393271), (5, 0.083355546)]
dictionari [(0, 0.5818913), (1, 0.08474646), (2, 0.08334285), (3, 0.083339766), (4, 0.08333978), (5, 0.083339855)]
In [(0, 0.58013314), (1, 0.08426127), (2, 0.08368989), (3, 0.084657796), (4, 0.08346239), (5, 0.08379552)]
fbreader [(0, 0.08334074), (1, 0.5832955), (2, 0.08334072), (3, 0.08334092), (4, 0.08334087), (5, 0.08334128)]
premium [(0, 0.08384162), (1, 0.08406449), (2, 0.08386988), (3, 0.08435133), (4, 0.5805313), (5, 0.08334137)]
translat [(0, 0.08342502), (1, 0.58275694), (2, 0.083524704), (3, 0.08333935), (4, 0.08361443), (5, 0.083339565)]
sentenc [(0, 0.08480772), (1, 0.5816627), (2, 0.08338091), (3, 0.08338218), (4, 0.083381824), (5, 0.08338469)]
without [(0, 0.084322594), (1, 0.08439905), (2, 0.08344491), (3, 0.084321), (4, 0.57988256), (5, 0.08362989)]
leav [(0, 0.08390612), (1, 0.5800154), (2, 0.08335371), (3, 0.08335411), (4, 0.08483556), (5, 0.084535085)]
applic [(0, 0.084582716), (1, 0.08372664), (2, 0.0838913), (3, 0.08473568), (4, 0.57938945), (5, 0.0836742)]
use [(0, 0.08397227), (1, 0.08376799), (2, 0.08452679), (3, 0.5799585), (4, 0.083907716), (5, 0.0838667)]
integr [(0, 0.08333985), (1, 0.58198667), (2, 0.08387672), (3, 0.08333962), (4, 0.08411702), (5, 0.08334009)]
googl [(0, 0.08438088), (1, 0.08405622), (2, 0.5801734), (3, 0.08403379), (4, 0.083497055), (5, 0.08385868)]
yandex [(0, 0.08338145), (1, 0.58308977), (2, 0.08338071), (3, 0.08338179), (4, 0.08338165), (5, 0.08338462)]
translat [(0, 0.08342499), (1, 0.5827589), (2, 0.08352447), (3, 0.08333935), (4, 0.08361272), (5, 0.083339565)]
fbreader [(0, 0.08334074), (1, 0.58329546), (2, 0.08334072), (3, 0.08334092), (4, 0.08334087), (5, 0.08334127)]
support [(0, 0.08386977), (1, 0.08419258), (2, 0.58009315), (3, 0.08435951), (4, 0.08394246), (5, 0.08354255)]
synchron [(0, 0.0839407), (1, 0.58223724), (2, 0.0837585), (3, 0.083354056), (4, 0.08335398), (5, 0.083355494)]
librari [(0, 0.083335854), (1, 0.5824982), (2, 0.08348781), (3, 0.083336174), (4, 0.083793275), (5, 0.08354864)]
and/or [(0, 0.08338179), (1, 0.5806347), (2, 0.08437981), (3, 0.08338206), (4, 0.08483678), (5, 0.08338486)]
read [(0, 0.08338132), (1, 0.58294076), (2, 0.08337361), (3, 0.0835309), (4, 0.08333908), (5, 0.08343434)]
posit [(0, 0.083339594), (1, 0.083528064), (2, 0.58223605), (3, 0.0840436), (4, 0.08351242), (5, 0.08334022)]
fbreader [(0, 0.08334074), (1, 0.5832955), (2, 0.08334072), (3, 0.08334092), (4, 0.083340876), (5, 0.08334127)]
book [(0, 0.083391614), (1, 0.5826943), (2, 0.083457045), (3, 0.08337174), (4, 0.08375113), (5, 0.08333419)]
network [(0, 0.08352594), (1, 0.083864786), (2, 0.5817219), (3, 0.08375267), (4, 0.08363995), (5, 0.083494715)]
googl [(0, 0.08438598), (1, 0.084056415), (2, 0.5801677), (3, 0.08403395), (4, 0.083497085), (5, 0.08385882)]
drive [(0, 0.084043235), (1, 0.08363546), (2, 0.08407541), (3, 0.08360778), (4, 0.08333853), (5, 0.5812996)]
base [(0, 0.084149964), (1, 0.08479669), (2, 0.083822384), (3, 0.08362383), (4, 0.0840227), (5, 0.5795844)]
cloud [(0, 0.08448551), (1, 0.08366846), (2, 0.08403632), (3, 0.08338862), (4, 0.5810819), (5, 0.08333914)]
servic [(0, 0.08335332), (1, 0.08345972), (2, 0.08373537), (3, 0.58233607), (4, 0.08377966), (5, 0.08333589)]
the [(0, 0.08456658), (1, 0.5795798), (2, 0.08393743), (3, 0.0836376), (4, 0.08392862), (5, 0.084350005)]
synchron [(0, 0.083918564), (1, 0.58226067), (2, 0.08375733), (3, 0.08335404), (4, 0.08335397), (5, 0.08335547)]
disabl [(0, 0.08335729), (1, 0.084027976), (2, 0.08335697), (3, 0.08335757), (4, 0.08335737), (5, 0.58254284)]
default [(0, 0.08337997), (1, 0.084752455), (2, 0.08337913), (3, 0.58028954), (4, 0.08481431), (5, 0.083384626)]
enabl [(0, 0.08335316), (1, 0.084685795), (2, 0.08335405), (3, 0.5803859), (4, 0.08486606), (5, 0.08335497)]
configur [(0, 0.083456576), (1, 0.58261585), (2, 0.08354783), (3, 0.08346062), (4, 0.083337985), (5, 0.0835811)]
prefer [(0, 0.0833993), (1, 0.3354739), (2, 0.083396345), (3, 0.08339758), (4, 0.33093113), (5, 0.08340172)]
dialog [(0, 0.083345845), (1, 0.08368901), (2, 0.08334562), (3, 0.083346054), (4, 0.58292663), (5, 0.08334683)]
fbreader [(0, 0.083340704), (1, 0.5832957), (2, 0.08334068), (3, 0.083340876), (4, 0.08334083), (5, 0.08334121)]
fast [(0, 0.58209723), (1, 0.08394455), (2, 0.08343552), (3, 0.08383949), (4, 0.0833414), (5, 0.083341815)]
