Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.mamara.bakery.txt,0.0
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.boat.txt,0.0
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.career.txt,0.0
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.designer.txt,0.0
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.drinks.txt,0.0
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.food.txt,0.0
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.market.txt,0.0
8,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.princess.txt,0.0
9,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.restaurant.txt,0.0
10,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.tailor.txt,0.0
11,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_com.sinyee.babybus.taxi.txt,0.0
12,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_High_Heels_v1.2.2_apkpure.com.txt,7.487208707606365
13,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_3\apiCalls\3_Icecream_Cone_Cupcake_Baking_Maker_Chef_v0.7_apkpure.com.txt,9.359010884507956
