Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_Cake_Maker_Sweet_Food_Chef_Dessert_Cooking_Game_v8.0_apkpure.com.txt,0
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_com.arefin.rannabanna-v2.3.txt,0
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_com.kidsfoodinc.unicorn.cooking.game.txt,1.15072829
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_com.outfit7.herodash_2021-01-25.txt,11.77543358
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_Duolingo_Learn_Languages_Free_v4.93.7_apkpure.com.txt,2.455378662
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_Ice_Cream_Cake_Maker_Dessert_Chef_v3.3_apkpure.com.txt,5.357044426
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_Sweet_Bakery_Chef_Mania_Baking_Games_For_Girls_v2.9_apkpure.com.txt,8.258710191
8,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_6\apiCalls\6_Temple_Run_2_v1.73.0_apkpure.com.txt,18.02036927
