Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_app.playandwinapp.com.txt,19.68973365
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Badminton_League_v5.00.5009.5_apkpure.com.txt,31.2762844
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Bengali_English_Translator_v2.5.2_apkpure.com.txt,31.29203275
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Best_MiniCraft_Survival_Games_v1.11.0_apkpure.com.txt,31.35502618
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_BiP_–_Messaging_Voice_and_Video_Calling_v3.71.21_apkpure.com.txt,51.18022888
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Carrom_Pool_v5.0.4_apkpure.com.txt,55.15912573
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.a10minuteschool.tenminuteschool_2021-02-06.txt,56.62203621
8,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.bproperty.bpropertyapp_2021-01-29.txt,56.78933446
9,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.coloring.mermaids.txt,0.230795652
10,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.dts.freefireth_1.59.5-2019114188_minAPI16(armeabi-v7a)(nodpi)_apkmirror.com.txt,0.741003784
11,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.einstechstudio.quiz.38.txt,1.023814926
12,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.gismart.realpianofree_2020-12-10.txt,1.699092354
13,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.miniclip.eightballpool_5.2.6-2370_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com.txt,1.313042092
14,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.osquare.mydearnest_2021-02-25.txt,4.617157154
15,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.PepiPlay.PepiHospital.txt,5.713974408
16,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.PepiPlay.PepiShopping.txt,1.096817254
17,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.realresearch.survey.41.txt,0.760456853
18,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.sm.banglaalphabet.txt,0.031496714
19,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.tencent.ig_1.2.0_14680_MinAPI18_(armeabi-v7a)(nodpi)_apklinker.com.txt,3.942853716
20,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.xiaomi.hm.health_3.5.9-6904_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com.txt,40.2846259
21,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_com.YovoGames.babycare.txt,3.558884424
22,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Cover_Strike_3D_Team_Shooter_v1.5.12_apkpure.com.txt,2.202005644
23,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_dh.health.digital.hospital_1114_apkplz.net.txt,2.90342947
24,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Discord_Talk_Video_Chat_Hang_Out_with_Friends_v62.5_apkpure.com.txt,5.221117852
25,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Doraemon_Quiz_v2.0.0_apkpure.com.txt,5.28411128
26,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_English_Skills_Practice_and_Learn_v5.9_apkpure.com.txt,5.967691487
27,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Free_Dating_App_Flirt_Chat_Match_with_Singles_v1.1428_apkpure.com.txt,7.598724531
28,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Gattu_Battu_Game_v1.0_apkpure.com.txt,7.661717959
29,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Giant_Rush_v1.2.1_apkpure.com.txt,29.50599167
30,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_GoldenSphinx_apkpure.com.txt,35.48025577
31,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Hit_Master_3D_Knife_Assassin_v1.5.1_apkpure.com.txt,1.325747767
32,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Home_Design_3D_v4.4.4_apkpure.com.txt,1.380438416
33,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_house_plan_design_v1.0_apkpure.com.txt,1.380438416
34,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Hrithik_Roshan_Movie_Names_v1.11.9z_apkpure.com.txt,5.63958559
35,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Hunter_Assassin_v1.34.1_apkpure.com.txt,11.25636688
36,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_me.mycake_2021-01-29.txt,11.50240692
37,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Messenger_Lite_Free_Calls_Messages_v128.0.0.6.110_apkpure.com.txt,16.67202206
38,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Mobile_Call_Number_Locator_v2.7.4_apkpure.com.txt,16.83932031
39,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_nagad-uddokta_1.0.41.02.txt,8.957586481
40,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Peyala_v1.0.6_apkpure.com.txt,10.27513272
41,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Piano_Fire_EDM_Music_New_Rhythm_v1.0.17_apkpure.com.txt,10.60972923
42,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Pooking_Billiards_City_v2.29_apkpure.com.txt,11.70947708
43,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_PUBG_MOBILE_LITE_v0.20.0_apkpure.com.txt,21.17209923
44,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Real_Cricket™_GO_v0.2.0_apkpure.com.txt,32.53487497
45,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Real_Piano_v1.14_apkpure.com.txt,25.87840531
46,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Rhythm_Master_v24_apkpure.com.txt,19.05165883
47,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Rudra_Boom_Chik_Chik_Boom_Game_v8_apkpure.com.txt,30.23143202
48,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Shooting_Archery_v3.27_apkpure.com.txt,31.7848106
49,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Six_Pack_in_30_Days_Abs_Workout_v1.0.34_apkpure.com.txt,4.47879324
50,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_skitto_v3.12.0_apkpure.com.txt,0.062993428
51,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Sky_Fighters_3D_v1.5_apkpure.com.txt,0.443221855
52,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Smash_Colors_3D_Free_Beat_Color_Rhythm_Ball_Game_v0.2.52_apkpure.com.txt,12.80096201
53,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Stacky_Dash_Swipe_v1.0.2_apkpure.com.txt,13.37243858
54,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Super_Crafting_and_Building_2020_v3_apkpure.com.txt,19.94504828
55,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_T20_Cricket_Champions_3D_v1.8.301_apkpure.com.txt,22.79624068
56,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_4\apiCalls\4_Tawakkalna_Covid_19_KSA_v2.6.3_apkpure.com.txt,23.23302489
