topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
0,0.06857514,0.10463701,0,0,0,0,0,0,0,0.10166352,0.26337957
0,0,0,0.23471479,0.09160033,0,0.09379436,0,0,0.100799866,0,0
0,0,0,0,0.016275074,0,0,0.023923028,0,0,0.82351035,0.018126087
0,0,0.15403739,0.25281513,0,0,0,0,0,0,0.07125433,0.1619716
0,0,0,0.08669365,0,0,0,0.32403472,0,0.11427315,0,0.08125665
0,0,0,0,0.0996848,0.09040802,0,0.102030344,0.09391828,0,0,0
0,0,0,0,0,0.18585278,0,0.20098811,0,0,0.121985465,0.075587675
0,0,0,0.082571894,0,0.12021706,0,0.18770374,0,0,0.09637514,0
0,0,0.090000555,0,0.09494664,0,0,0.16960816,0,0,0,0.10566522
0,0,0.030917084,0,0.03570647,0,0,0.13729177,0.6146569,0,0,0
0,0,0,0,0.2576825,0,0,0.17876366,0,0.05723024,0.28831586,0
0,0,0,0.11566444,0,0.33558998,0,0.10453549,0,0,0,0.086879574
0,0,0,0,0.01523365,0,0,0.8342592,0,0,0.018731285,0.015775003
0.03680581,0,0,0,0,0,0.046824586,0.61170983,0,0,0.037150662,0
0,0,0,0,0,0,0.070876755,0.17203996,0.3545062,0,0.057141002,0
0,0,0,0.054049797,0,0,0.069651574,0.22162376,0,0.35656264,0,0
0,0,0,0.06546162,0.09968332,0.19778708,0,0.28233886,0,0,0,0
0,0.08829821,0.09118158,0,0,0.0974709,0,0.089389734,0,0,0,0
0,0,0,0.03260181,0,0,0.032889582,0.7068141,0,0,0.03007715,0
0,0.07733207,0.47596228,0,0,0,0,0.09143122,0,0,0.0831486,0
0,0,0,0,0.06449585,0,0.058405444,0.44241762,0.071151964,0,0,0
0,0,0,0,0,0,0,0.17985263,0.03611547,0.07590946,0.51083493,0
0.040477358,0,0,0.040938526,0,0.04301607,0,0.6231145,0,0,0,0
0.15322469,0,0,0,0,0.1106552,0,0.114724815,0,0,0.15080762,0
0,0,0.038339812,0,0,0,0,0.7004137,0.0394198,0,0.040959872,0
0,0.38664192,0,0,0.049111992,0,0,0,0.29453722,0,0.04330731,0
0,0.1648014,0,0,0.09208148,0,0,0.14351085,0,0.29338342,0,0
0,0.088028595,0.05802542,0.06896101,0.4814411,0,0,0,0,0,0,0
0,0,0,0.11921638,0,0.103381656,0,0.33706012,0,0,0.09065049,0
0,0.0551333,0,0,0,0,0,0.035394453,0.041231498,0,0.66413754,0
0,0,0,0,0.37922585,0.25216296,0,0.0765165,0.043940764,0,0,0
0,0.034681797,0.4988908,0,0,0,0,0.22665936,0,0,0.03998303,0
0,0.0464492,0,0,0.047435876,0,0,0,0.029355435,0,0.6699108,0
0,0.11178422,0,0,0.10918976,0,0,0,0.0973743,0,0.35212007,0
0,0,0,0,0.104506284,0,0,0.091832556,0,0,0.25234234,0.08662531
0,0.06254348,0,0,0,0,0,0.5754007,0,0,0.093266815,0.03970314
0,0.60645527,0,0,0,0,0,0,0.037251882,0.038891375,0.12665497,0
0.046790652,0,0,0,0,0,0,0.22394569,0,0.052796967,0.38295954,0
0,0.049864262,0,0,0.70181036,0,0,0.039860155,0,0,0.033267386,0
0,0.075415686,0,0,0.12935689,0,0,0,0,0,0.4389251,0.05764125
0,0.06960087,0,0,0.09791302,0,0,0.081631295,0.45752123,0,0,0
0,0.047631435,0,0,0.065030545,0,0,0.07194705,0,0,0.4953343,0
0,0.13554837,0.038996596,0,0.44752514,0,0,0.14127222,0,0,0,0
0,0.26999637,0,0,0.16726339,0.08579991,0,0.13669692,0,0,0,0
0,0.04280023,0,0,0.38415876,0,0,0,0,0.040914163,0.2923875,0
0,0.27355507,0,0,0.23751478,0,0,0,0,0,0.096725926,0.08143864
0,0.400693,0,0,0.069829404,0,0,0.1498839,0,0,0.069471106,0
0,0.13993482,0.10274942,0,0.07164583,0,0,0,0.26674414,0,0,0
0,0.025746843,0,0,0.52076304,0,0.025650479,0,0,0,0.24368975,0
0,0.4423013,0,0,0.040761832,0,0,0.17600676,0,0,0.09935885,0
0,0,0,0,0.07104115,0,0,0.40324384,0,0,0.16677395,0.06505244
0,0,0,0,0,0.2624184,0,0.108097434,0,0,0.16814098,0.11538085
0,0.058786806,0,0,0.60303867,0,0,0.052213334,0,0,0.05539298,0
0,0,0,0,0.09417011,0,0.10237869,0,0,0.04498223,0.4862411,0
0,0.04355253,0,0.052298646,0,0,0,0,0,0.40584072,0.26616266,0
0,0.04667036,0,0,0.043701362,0,0,0,0.042070903,0,0.63397557,0
0,0,0,0,0.08812476,0,0,0.053296078,0,0.04505946,0.4849927,0
0,0.051395684,0,0,0.038235635,0,0,0.7086595,0.042767547,0,0,0
0,0.13695933,0,0,0.31146887,0,0,0.065231234,0,0,0.07242217,0
0,0.045447543,0,0,0,0,0,0.05037894,0,0.11326304,0.5356074,0
0,0.03160524,0,0,0.04174399,0,0,0,0,0,0.7088575,0.031808592
0,0.44295824,0,0,0.064990565,0,0.07797388,0.087020576,0,0,0,0
0,0.6326358,0,0,0.039077796,0,0,0.044375733,0.051642798,0,0,0
0,0.043973,0,0,0.032611277,0,0.18303327,0,0,0,0.5251994,0
0,0.066271745,0.07106716,0,0,0,0.08891383,0,0,0,0.38736528,0
0,0.050121557,0,0,0.076797254,0,0.089672856,0,0,0,0.57501054,0
0,0.050124645,0,0,0,0,0,0.048854336,0.36597168,0,0.2832064,0
0,0.39086628,0,0,0.049895406,0,0,0,0,0.07332093,0.24908099,0
0,0.1085559,0,0,0.07477441,0,0,0.17780674,0,0,0.19413689,0
0,0.03708189,0,0,0.032177247,0,0,0.041182708,0,0,0.6843015,0
0,0.34757674,0,0,0.04977719,0,0,0,0,0.08275376,0.24915539,0
0,0.12245487,0,0,0,0.28023034,0,0.14220583,0,0,0,0.08258907
0,0.081304535,0,0,0.0936047,0,0,0.20249009,0,0,0.10258596,0
0,0,0.06939392,0,0,0.3532478,0,0,0,0.077382326,0,0.072642475
0,0.042614695,0,0,0,0.7407874,0,0.03490309,0.029921576,0,0,0
0,0.08914972,0,0,0,0.31293124,0,0.12482808,0.07167734,0,0,0
