Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_beatmaker.edm.musicgames.gunsounds-1.1.55-free-www.apksum.com.txt,1.982277793
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Brain_Crack_v1.1.5_apkpure.com.txt,0
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Brain_Test_2_Tricky_Stories_v0.158_apkpure.com.txt,2.996498766
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Brain_Test_Tricky_Puzzles_v2.706_apkpure.com.txt,7.250017978
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Bubble_Shooter_Classic_v1.8_apkpure.com.txt,9.473257142
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Color_Hop_3D_Music_Game_v2.0.0_apkfab.com.txt,11.28821612
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.edujoy.masha.games.txt,11.43643206
8,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.gokids.tb_island.txt,12.54242148
9,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.gokids.transportbuilding.txt,13.6484109
10,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.happytools.learning.kids.games.txt,13.83299449
11,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.orange.coloring.learn.kids.txt,13.83299449
12,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.razmobi.monstertrucks2.txt,13.83299449
13,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.rvappstudios.abc_kids_toddler_tracing_phonics.txt,13.83299449
14,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.rvappstudios.kids.coloring.book.color.painting.txt,14.31400997
15,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_com.yoozoogames.carromfriendsboardgames_2021-02-11.txt,14.46222591
16,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Dancing_Road_Color_Ball_Run_v1.7.0_apkpure.com.txt,16.7959407
17,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Dream_Piano_Music_Game_v1.75.0_apkpure.com.txt,18.12988419
18,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_GridRewards_for_Con_Edison_NY_Earn_money_v1.0.8_apkpure.com.txt,1.370311143
19,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Home_Interior_Design_House_Mansion_Match_3_Blast_v1.05_apkpure.com.txt,1.518527087
20,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Learn_arabic_alphabet_for_kids_v1.7.0_apkpure.com.txt,1.666743032
21,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Magic_Tiles_3_v8.013.003_apkpure.com.txt,3.518069652
22,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Piano_Kids_Music_Songs_v2.75_apkpure.com.txt,3.666285596
23,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Pink_Piano_v1.3_apkpure.com.txt,3.81450154
24,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Real_Commando_Secret_Mission_Free_Shooting_Games_v15.4_apkpure.com.txt,3.962717485
25,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Real_Guitar_Free_Chords_Tabs_Simulator_Games_v3.31.0_apkpure.com.txt,5.148445039
26,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Sniper_3D_v3.27.3_apktom.com_.txt,11.93961747
27,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Tiles_Hop_EDM_Rush_v3.4.0_apkpure.com.txt,14.08737598
28,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_2\apiCalls\2_Who_is_Brain_Teaser_Tricky_Riddles_v1.3.3_apkpure.com.txt,17.89906244
