Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_1\apiCalls\1_BDALLJob_job_bd_v1.55_apkpure.com.txt,0.616602719
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_1\apiCalls\1_com.dmoneybd.dcustomer.iw_2020-12-22.txt,11.72018653
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_1\apiCalls\1_Google_Classroom_v7.0.021.02.40_apkpure.com.txt,11.87433721
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_1\apiCalls\1_Hellotask_Instant_verified_maid_service_in_Dhaka_v2.3.4_apkpure.com.txt,12.02848789
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_1\apiCalls\1_Home_Security_Camera_WardenCam_reuse_old_phones_v2.7.8_apkpure.com.txt,12.02848789
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_1\apiCalls\1_SURE_Smart_Home_and_TV_Universal_Remote_v4.24.129.20200311_apkpure.com.txt,29.91457296
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_1\apiCalls\1_Tasty_v1.45.0_apkpure.com.txt,0
