Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_Bengali_spoken_english_app_v16_apkpure.com.txt,0.0
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_com.ea.gp.fifamobile_v14.2.01-20198_Android-6.0.txt,0.7539432848427186
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_com.maya.mayaapaapp_2021-02-14.txt,8.601677492924425
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_com.nautilus.RealCricket3D_v3.8-506_Android-5.0.txt,26.29548126788823
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_Height_Increase_Increase_Height_Workout_Taller_v1.0.15_apkpure.com.txt,52.94312865914434
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_Lose_Weight_App_for_Men_Weight_Loss_in_30_Days_v1.0.35_apkpure.com.txt,71.04608548884967
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_medicine_guide_v1.2_apkpure.com.txt,0.0
8,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_Weight_Loss_Tracker_BMI_aktiBMI_v2.00-xmsg_apkpure.com.txt,75.32258976636511
9,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_5\apiCalls\5_Wrestling_Revolution_3D_v1.702_apkpure.com.txt,69.28272549414329
