Serial,Name,Scores
1,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_Bangla_Dictionary_Offline_v8.1.5_apkpure.com.txt,0.09531017980432493
2,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_Bengali_Voice_Typing_Keyboard_v1.8_apkpure.com.txt,0.09531017980432493
3,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_com.bananandolon.dictionary.txt,0.7926324459951035
4,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_com.iaaatech.citizenchat_2021-01-29.txt,38.85935257677622
5,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_com.sublimis.urbanbiker_2021-02-23.txt,39.56079856015086
6,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_English_Bangla_Dictionary_v8.1.5_apkpure.com.txt,39.65610873995518
7,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_English_to_Bangla_Translator_v4.6.8_apkpure.com.txt,40.45879152180378
8,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_Millionaire_2021_Free_Trivia_Quiz_Offline_Game_v1.5.4.2_apkpure.com.txt,46.38157904154611
9,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_Speak_and_Translate_All_Languages_Voice_Translator_v2.9_apkpure.com.txt,46.38157904154611
10,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11_World_Cricket_Championship_2_WCC2_v2.9.2_apkpure.com.txt,50.32385342287596
11,D:\8th_semester\my_8th_semester\SPL3\appmining\final\topic_11\apiCalls\11__7_english_100%guarentee_1.1_apkfuture.com.txt,8.1141516359001
